# INJECTOR ORIFICE PLATE
# project: Mini Hybrid V2.2
# part no: INJ-PLATE-V2.2B
# units: mm. Origin at plate centre, X right, Y up, viewed from the injector inlet (upstream) face.
# plate dia 85.852, thickness 12.700, 41 holes of 1.200 dia, THRU
# total flow area 46.370 mm^2, L/D 10.58, Cd assumed 0.700
# min web between holes 9.553, edge margin 5.151
# generated 2026-09-21 by n2o-injector-sizing
hole,ring,x_mm,y_mm,radius_mm,angle_deg,diameter_mm,depth
1,1,12.3916,0.0000,12.3916,0.000,1.2000,THRU
2,1,7.7261,9.6882,12.3916,51.429,1.2000,THRU
3,1,-2.7574,12.0809,12.3916,102.857,1.2000,THRU
4,1,-11.1645,5.3765,12.3916,154.286,1.2000,THRU
5,1,-11.1645,-5.3765,12.3916,205.714,1.2000,THRU
6,1,-2.7574,-12.0809,12.3916,257.143,1.2000,THRU
7,1,7.7261,-9.6882,12.3916,308.571,1.2000,THRU
8,2,24.1619,5.5148,24.7833,12.857,1.2000,THRU
9,2,19.3763,15.4521,24.7833,38.571,1.2000,THRU
10,2,10.7531,22.3289,24.7833,64.286,1.2000,THRU
11,2,0.0000,24.7833,24.7833,90.000,1.2000,THRU
12,2,-10.7531,22.3289,24.7833,115.714,1.2000,THRU
13,2,-19.3763,15.4521,24.7833,141.429,1.2000,THRU
14,2,-24.1619,5.5148,24.7833,167.143,1.2000,THRU
15,2,-24.1619,-5.5148,24.7833,192.857,1.2000,THRU
16,2,-19.3763,-15.4521,24.7833,218.571,1.2000,THRU
17,2,-10.7531,-22.3289,24.7833,244.286,1.2000,THRU
18,2,-0.0000,-24.7833,24.7833,270.000,1.2000,THRU
19,2,10.7531,-22.3289,24.7833,295.714,1.2000,THRU
20,2,19.3763,-15.4521,24.7833,321.429,1.2000,THRU
21,2,24.1619,-5.5148,24.7833,347.143,1.2000,THRU
22,3,37.1749,0.0000,37.1749,0.000,1.2000,THRU
23,3,35.3554,11.4877,37.1749,18.000,1.2000,THRU
24,3,30.0751,21.8508,37.1749,36.000,1.2000,THRU
25,3,21.8508,30.0751,37.1749,54.000,1.2000,THRU
26,3,11.4877,35.3554,37.1749,72.000,1.2000,THRU
27,3,0.0000,37.1749,37.1749,90.000,1.2000,THRU
28,3,-11.4877,35.3554,37.1749,108.000,1.2000,THRU
29,3,-21.8508,30.0751,37.1749,126.000,1.2000,THRU
30,3,-30.0751,21.8508,37.1749,144.000,1.2000,THRU
31,3,-35.3554,11.4877,37.1749,162.000,1.2000,THRU
32,3,-37.1749,0.0000,37.1749,180.000,1.2000,THRU
33,3,-35.3554,-11.4877,37.1749,198.000,1.2000,THRU
34,3,-30.0751,-21.8508,37.1749,216.000,1.2000,THRU
35,3,-21.8508,-30.0751,37.1749,234.000,1.2000,THRU
36,3,-11.4877,-35.3554,37.1749,252.000,1.2000,THRU
37,3,-0.0000,-37.1749,37.1749,270.000,1.2000,THRU
38,3,11.4877,-35.3554,37.1749,288.000,1.2000,THRU
39,3,21.8508,-30.0751,37.1749,306.000,1.2000,THRU
40,3,30.0751,-21.8508,37.1749,324.000,1.2000,THRU
41,3,35.3554,-11.4877,37.1749,342.000,1.2000,THRU
